genome_seqid	gff_seqid	canonical_seqid
Lco1464_v1.0_h1tg000042l	Lco1464_v1.0_h1tg000042l	Lco1464_v1.0_h1tg000042l
Lco1464_v1.0_h1tg000043l		Lco1464_v1.0_h1tg000043l
Lco1464_v1.0_h1tg000044l		Lco1464_v1.0_h1tg000044l
Lco1464_v1.0_h1tg000045l	Lco1464_v1.0_h1tg000045l	Lco1464_v1.0_h1tg000045l
Lco1464_v1.0_h1tg000046l	Lco1464_v1.0_h1tg000046l	Lco1464_v1.0_h1tg000046l
Lco1464_v1.0_h1tg000047l		Lco1464_v1.0_h1tg000047l
Lco1464_v1.0_h1tg000048l	Lco1464_v1.0_h1tg000048l	Lco1464_v1.0_h1tg000048l
Lco1464_v1.0_h1tg000049l	Lco1464_v1.0_h1tg000049l	Lco1464_v1.0_h1tg000049l
Lco1464_v1.0_h1tg000050l		Lco1464_v1.0_h1tg000050l
Lco1464_v1.0_h1tg000051l	Lco1464_v1.0_h1tg000051l	Lco1464_v1.0_h1tg000051l
Lco1464_v1.0_h1tg000052l	Lco1464_v1.0_h1tg000052l	Lco1464_v1.0_h1tg000052l
Lco1464_v1.0_h1tg000053l	Lco1464_v1.0_h1tg000053l	Lco1464_v1.0_h1tg000053l
Lco1464_v1.0_h1tg000054l	Lco1464_v1.0_h1tg000054l	Lco1464_v1.0_h1tg000054l
Lco1464_v1.0_h1tg000055l		Lco1464_v1.0_h1tg000055l
Lco1464_v1.0_h1tg000056l	Lco1464_v1.0_h1tg000056l	Lco1464_v1.0_h1tg000056l
Lco1464_v1.0_h1tg000057l		Lco1464_v1.0_h1tg000057l
Lco1464_v1.0_h1tg000058l		Lco1464_v1.0_h1tg000058l
Lco1464_v1.0_h1tg000059l		Lco1464_v1.0_h1tg000059l
Lco1464_v1.0_h1tg000060l	Lco1464_v1.0_h1tg000060l	Lco1464_v1.0_h1tg000060l
Lco1464_v1.0_h1tg000061l		Lco1464_v1.0_h1tg000061l
Lco1464_v1.0_h1tg000062l		Lco1464_v1.0_h1tg000062l
Lco1464_v1.0_h1tg000063l		Lco1464_v1.0_h1tg000063l
