catalog_id	biological_species	biological_accession	assembly_unit_label	year	assembly_accession	alternate_accessions	accession_version_status	bioproject	ploidy_or_representation	assembly_scope	public_genome	public_gff	public_cds	public_protein	classification	deduplication_group	biological_independence	repository_url	publication_doi	decision_note
act_chinensis_hy_h1_2025	Actinidia chinensis	HY	phased_haplome_1	2025	GWHFPWD00000000	none	repository_root_version_unverified	PRJCA031175	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	actinidia_superpangenome_hy_2025	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHFPWD00000000	10.1093/hr/uhaf067	Official GWH release is DNA-only; obtain the exact matching annotation before gene-loss analysis and do not count the two haplomes as independent species.
act_chinensis_hy_h2_2025	Actinidia chinensis	HY	phased_haplome_2	2025	GWHFPWE00000000	none	repository_root_version_unverified	PRJCA031175	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	actinidia_superpangenome_hy_2025	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHFPWE00000000	10.1093/hr/uhaf067	Official GWH release is DNA-only; obtain the exact matching annotation before gene-loss analysis and do not count the two haplomes as independent species.
act_chinensis_kuimi_2026	Actinidia chinensis	Kuimi	whole_assembly	2026	GWHJJEO00000000	none	repository_root_version_unverified	PRJCA065278	tetraploid_4x	chromosome_level_116_chromosomes	yes	yes	yes	yes	sensitivity	chinensis_kuimi_2026	independent_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHJJEO00000000	not_available	Full annotated tetraploid bundle; retain as ploidy-mismatched sensitivity rather than replacing the diploid primary unit, and freeze exact current files and checksums before use.
act_chinensis_acm4_2026	Actinidia chinensis	ACM4	whole_assembly	2026	GWHJJEP00000000	none	repository_root_version_unverified	PRJCA065278	tetraploid_4x	chromosome_level_116_chromosomes	yes	yes	yes	yes	sensitivity	chinensis_acm4_2026	independent_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHJJEP00000000	not_available	Full annotated tetraploid bundle; retain as ploidy-mismatched sensitivity rather than replacing the diploid primary unit.
act_chinensis_guimi2_2025	Actinidia chinensis	Guimi_No_2	whole_assembly	2025	JBMUMY000000000.1	GCA_051903715.1;GCA_051167385.1	versioned_wgs_master_with_duplicate_assembly_submissions	not_verified	diploid_2x	chromosome_level_29_pseudochromosomes_plus_unanchored_scaffolds	yes	no	no	no	unavailable	chinensis_guimi2_2025	duplicate_submission_same_assembly	https://www.ncbi.nlm.nih.gov/Traces/wgs/JBMUMY01	10.1038/s41597-025-05593-6	The two GCA records resolve to the same 607462286-bp submitted assembly and must be counted once; NCBI provides no matched structural annotation for this assembly, so it remains unavailable for gene-loss analysis until exact annotation assets are verified.
act_hemsleyana_cy_h1_2025	Actinidia hemsleyana	CY	phased_haplome_1	2025	GWHFPWH00000000	none	repository_root_version_unverified	PRJCA031175	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	actinidia_superpangenome_cy_2025	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHFPWH00000000	10.1093/hr/uhaf067	Official GWH release is DNA-only; obtain the exact matching annotation before gene-loss analysis and do not count the two haplomes as independent species.
act_hemsleyana_cy_h2_2025	Actinidia hemsleyana	CY	phased_haplome_2	2025	GWHFPWI00000000	none	repository_root_version_unverified	PRJCA031175	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	actinidia_superpangenome_cy_2025	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHFPWI00000000	10.1093/hr/uhaf067	Official GWH release is DNA-only; obtain the exact matching annotation before gene-loss analysis and do not count the two haplomes as independent species.
act_latifolia_ky_h1_2025	Actinidia latifolia	KY	phased_haplome_1	2025	GWHFPWJ00000000	none	repository_root_version_unverified	PRJCA031175	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	actinidia_superpangenome_ky_2025	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHFPWJ00000000	10.1093/hr/uhaf067	Official GWH release is DNA-only; obtain the exact matching annotation before gene-loss analysis and do not count the two haplomes as independent species.
act_latifolia_ky_h2_2025	Actinidia latifolia	KY	phased_haplome_2	2025	GWHFPWK00000000	none	repository_root_version_unverified	PRJCA031175	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	actinidia_superpangenome_ky_2025	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHFPWK00000000	10.1093/hr/uhaf067	Official GWH release is DNA-only; obtain the exact matching annotation before gene-loss analysis and do not count the two haplomes as independent species.
act_eriantha_mh_h1_2025	Actinidia eriantha	MH	phased_haplome_1	2025	GWHFPWN00000000	none	repository_root_version_unverified	PRJCA031175	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	actinidia_superpangenome_mh_2025	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHFPWN00000000	10.1093/hr/uhaf067	Official GWH release is DNA-only; obtain the exact matching annotation before gene-loss analysis and do not count the two haplomes as independent species.
act_eriantha_mh_h2_2025	Actinidia eriantha	MH	phased_haplome_2	2025	GWHFPWO00000000	none	repository_root_version_unverified	PRJCA031175	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	actinidia_superpangenome_mh_2025	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHFPWO00000000	10.1093/hr/uhaf067	Official GWH release is DNA-only; obtain the exact matching annotation before gene-loss analysis and do not count the two haplomes as independent species.
act_deliciosa_mw_h1_2025	Actinidia deliciosa	MW	phased_haplome_1	2025	GWHFPWP00000000	none	repository_root_version_unverified	PRJCA031175	diploid_haplome_from_polyploid_taxon	chromosome_level_haplome	yes	no	no	no	unavailable	actinidia_superpangenome_mw_2025	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHFPWP00000000	10.1093/hr/uhaf067	Official GWH release is DNA-only and does not preserve the six-haplotype A-F primary design; the two haplomes are not independent species and require matching annotation before sensitivity use.
act_deliciosa_mw_h2_2025	Actinidia deliciosa	MW	phased_haplome_2	2025	GWHFPWQ00000000	none	repository_root_version_unverified	PRJCA031175	diploid_haplome_from_polyploid_taxon	chromosome_level_haplome	yes	no	no	no	unavailable	actinidia_superpangenome_mw_2025	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHFPWQ00000000	10.1093/hr/uhaf067	Official GWH release is DNA-only and does not preserve the six-haplotype A-F primary design; the two haplomes are not independent species and require matching annotation before sensitivity use.
act_eriantha_hap1_2026	Actinidia eriantha	wild_Fujian_2025	HAP1	2026	GCA_982292455.1	GWHHOIR00000000	versioned_figshare_v1_bundle_with_ncbi_and_gwh_mirrors	not_verified	diploid_2x	29_anchored_pseudochromosomes_only	yes	yes	yes	yes	primary_replacement_candidate	eriantha_wild_fujian_2025	paired_haplotype_same_accession	https://doi.org/10.6084/m9.figshare.31034008.v1	10.1038/s41597-026-07414-w	HAP1 and HAP2 are two haplotypes of the same biological accession and are not independent species. Use only the exact Figshare HAP1 genome-GFF-protein trio. The public FASTA is the chromosome-anchored subset with 29 pseudochromosomes; the larger pre-anchoring total reported in the paper is metadata, not an analyzed public sequence scope.
act_eriantha_hap2_2026	Actinidia eriantha	wild_Fujian_2025	HAP2	2026	GCA_982292445.1	GWHHOIS00000000	versioned_figshare_v1_bundle_with_ncbi_and_gwh_mirrors	not_verified	diploid_2x	29_anchored_pseudochromosomes_only	yes	yes	yes	yes	primary_replacement_candidate	eriantha_wild_fujian_2025	paired_haplotype_same_accession	https://doi.org/10.6084/m9.figshare.31034008.v1	10.1038/s41597-026-07414-w	HAP1 and HAP2 are not independent species. Use only the exact Figshare HAP2 genome-GFF-protein trio. The public FASTA is the chromosome-anchored subset with 29 pseudochromosomes; the larger pre-anchoring total remains reported metadata.
act_eriantha_cy38_h1_2026	Actinidia eriantha	CY38	phased_haplome_1	2026	GWHHJAC00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_cy38_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAC00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with CY38 haplome 2 and do not count it as an independent species replicate.
act_eriantha_cy38_h2_2026	Actinidia eriantha	CY38	phased_haplome_2	2026	GWHHIZQ00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_cy38_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHIZQ00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with CY38 haplome 1 and do not count it as an independent species replicate.
act_eriantha_dg01_h1_2026	Actinidia eriantha	DG01	phased_haplome_1	2026	GWHHJAD00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_dg01_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAD00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with DG01 haplome 2 and do not count it as an independent species replicate.
act_eriantha_dg01_h2_2026	Actinidia eriantha	DG01	phased_haplome_2	2026	GWHHIZR00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_dg01_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHIZR00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with DG01 haplome 1 and do not count it as an independent species replicate.
act_eriantha_gz26_h1_2026	Actinidia eriantha	GZ26	phased_haplome_1	2026	GWHHJAE00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_gz26_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAE00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with GZ26 haplome 2 and do not count it as an independent species replicate.
act_eriantha_gz26_h2_2026	Actinidia eriantha	GZ26	phased_haplome_2	2026	GWHHIZS00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_gz26_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHIZS00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with GZ26 haplome 1 and do not count it as an independent species replicate.
act_eriantha_hh01_h1_2026	Actinidia hybrid	HH01	phased_haplome_1	2026	GWHHJAF00000000	none	repository_root_version_unverified	PRJCA046593	diploid_F1_hybrid	chromosome_level_haplome	yes	yes	yes	yes	excluded	eriantha_panel_hh01_hybrid_2026	hybrid_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAF00000000	10.1186/s13059-026-04068-0	HH01 is a hybrid accession and is excluded from species-level Actinidia eriantha gene-loss comparisons; its two haplotypes are not independent species.
act_eriantha_hh01_h2_2026	Actinidia hybrid	HH01	phased_haplome_2	2026	GWHHIZT00000000	none	repository_root_version_unverified	PRJCA046593	diploid_F1_hybrid	chromosome_level_haplome	yes	yes	yes	yes	excluded	eriantha_panel_hh01_hybrid_2026	hybrid_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHIZT00000000	10.1186/s13059-026-04068-0	HH01 is a hybrid accession and is excluded from species-level Actinidia eriantha gene-loss comparisons; its two haplotypes are not independent species.
act_eriantha_hn01_h1_2026	Actinidia eriantha	HN01	phased_haplome_1	2026	GWHHJAG00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_hn01_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAG00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with HN01 haplome 2 and do not count it as an independent species replicate.
act_eriantha_hn01_h2_2026	Actinidia eriantha	HN01	phased_haplome_2	2026	GWHHIZU00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_hn01_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHIZU00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with HN01 haplome 1 and do not count it as an independent species replicate.
act_eriantha_ld19_h1_2026	Actinidia eriantha	LD19	phased_haplome_1	2026	GWHHJAH00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_ld19_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAH00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with LD19 haplome 2 and do not count it as an independent species replicate.
act_eriantha_ld19_h2_2026	Actinidia eriantha	LD19	phased_haplome_2	2026	GWHHIZV00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_ld19_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHIZV00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with LD19 haplome 1 and do not count it as an independent species replicate.
act_eriantha_mq32_h1_2026	Actinidia eriantha	MQ32	phased_haplome_1	2026	GWHHJAI00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_mq32_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAI00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with MQ32 haplome 2 and do not count it as an independent species replicate.
act_eriantha_mq32_h2_2026	Actinidia eriantha	MQ32	phased_haplome_2	2026	GWHHIZW00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_mq32_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHIZW00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with MQ32 haplome 1 and do not count it as an independent species replicate.
act_eriantha_qs41_h1_2026	Actinidia eriantha	QS41	phased_haplome_1	2026	GWHHJAJ00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_qs41_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAJ00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with QS41 haplome 2 and do not count it as an independent species replicate.
act_eriantha_qs41_h2_2026	Actinidia eriantha	QS41	phased_haplome_2	2026	GWHHIZX00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_qs41_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHIZX00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with QS41 haplome 1 and do not count it as an independent species replicate.
act_eriantha_ry10_h1_2026	Actinidia eriantha	RY10	phased_haplome_1	2026	GWHHJAK00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_ry10_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAK00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with RY10 haplome 2 and do not count it as an independent species replicate.
act_eriantha_ry10_h2_2026	Actinidia eriantha	RY10	phased_haplome_2	2026	GWHHIZY00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_ry10_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHIZY00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with RY10 haplome 1 and do not count it as an independent species replicate.
act_eriantha_yl01_h1_2026	Actinidia eriantha	YL01	phased_haplome_1	2026	GWHHJAL00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_yl01_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAL00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with YL01 haplome 2 and do not count it as an independent species replicate.
act_eriantha_yl01_h2_2026	Actinidia eriantha	YL01	phased_haplome_2	2026	GWHHIZZ00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_yl01_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHIZZ00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with YL01 haplome 1 and do not count it as an independent species replicate.
act_eriantha_yx01_h1_2026	Actinidia eriantha	YX01	phased_haplome_1	2026	GWHHJAM00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_yx01_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAM00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with YX01 haplome 2 and do not count it as an independent species replicate.
act_eriantha_yx01_h2_2026	Actinidia eriantha	YX01	phased_haplome_2	2026	GWHHJAA00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_yx01_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAA00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with YX01 haplome 1 and do not count it as an independent species replicate.
act_eriantha_yx02_h1_2026	Actinidia eriantha	YX02	phased_haplome_1	2026	GWHHJAN00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_yx02_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAN00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with YX02 haplome 2 and do not count it as an independent species replicate.
act_eriantha_yx02_h2_2026	Actinidia eriantha	YX02	phased_haplome_2	2026	GWHHJAB00000000	none	repository_root_version_unverified	PRJCA046593	diploid_2x	chromosome_level_haplome	yes	yes	yes	yes	sensitivity	eriantha_yx02_2026	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHHJAB00000000	10.1186/s13059-026-04068-0	Full annotated wild-accession haplome; keep paired with YX02 haplome 1 and do not count it as an independent species replicate.
act_deliciosa_qinmei_2025	Actinidia deliciosa	Qinmei	A_to_F_bundle	2025	Figshare_28689167	none	versioned_by_frozen_file_checksums	not_verified	hexaploid_6x	174_anchored_chromosomes_split_into_six_29_chromosome_units	yes	yes	yes	yes	primary_replacement_candidate	deliciosa_qinmei_2025	independent_accession	https://doi.org/10.6084/m9.figshare.28689167	10.1016/j.xplc.2025.101436	Primary candidate preserving A-F; unplaced scf annotations lack matching public genome sequences and remain outside A-F with an explicit audit count.
act_deliciosa_adm_2026	Actinidia deliciosa	ADM	A_to_F_bundle	2026	GWHJJEQ00000000.1	none	versioned_accession	not_verified	hexaploid_6x	174_chromosomes_split_into_six_29_chromosome_units	yes	yes	yes	yes	primary_replacement_candidate	deliciosa_adm_2026	independent_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHJJEQ00000000.1	not_available	Independent full A-F candidate; choose between ADM and Qinmei only after paired-scope QC BUSCO and JCVI gates rather than combining them.
act_longicarpa_actinidiabase_2024	Actinidia longicarpa	ActinidiaBase_2024	whole_assembly	2024	GWHETLB00000000	ActinidiaBase_mirror	repository_root_version_unverified	not_verified	diploid_2x	annotated_chromosome_level_bundle	yes	yes	yes	yes	sensitivity	longicarpa_actinidiabase_gwh_mirror_2024	mirror_or_alias_same_assembly	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHETLB00000000	10.1186/s12915-024-02002-z	GWH and ActinidiaBase are mirrors of one assembly and must not be treated as independent candidates.
